movie,original_title,genres,directors,production_budget,domestic_gross,worldwide_gross,TN_year,TN_month
The Boss Baby,The Boss Baby,"Adventure,Animation,Comedy",nm0569891,125000000.0,175003033.0,510878762.0,2017,Mar
Clash of the Titans,Clash of the Titans,"Action,Adventure,Fantasy",nm0504642,125000000.0,163214888.0,493214888.0,2010,Apr
Trolls,Trolls,"Adventure,Animation,Comedy","nm0593610,nm0230666",125000000.0,153707064.0,344150134.0,2016,Nov
Prometheus,Prometheus,"Adventure,Mystery,Sci-Fi",nm0000631,125000000.0,126477084.0,402448265.0,2012,Jun
The Bourne Legacy,The Bourne Legacy,"Action,Adventure,Thriller",nm0006904,125000000.0,113203870.0,280355920.0,2012,Aug
Skyscraper,Skyscraper,"Action,Adventure,Thriller",nm1098493,125000000.0,68420120.0,304115534.0,2018,Jul
Total Recall,Total Recall,Action,nm8218837,125000000.0,58877969.0,211856088.0,2012,Aug
Total Recall,Total Recall,"Action,Adventure,Mystery",nm0936482,125000000.0,58877969.0,211856088.0,2012,Aug
Monster Trucks,Monster Trucks,"Action,Adventure,Comedy",nm0917188,125000000.0,33370166.0,61642798.0,2017,Jan
Jason Bourne,Jason Bourne,"Action,Thriller",nm0339030,120000000.0,162192920.0,416168316.0,2016,Jul
Life of Pi,Life of Pi,"Adventure,Drama,Fantasy",nm0000487,120000000.0,124987022.0,620912003.0,2012,Nov
Rampage,Rampage,"Action,Adventure,Sci-Fi",nm0679031,120000000.0,101028233.0,428056280.0,2018,Apr
Elysium,Elysium,"Action,Drama,Sci-Fi",nm0088955,120000000.0,93050117.0,286192091.0,2013,Aug
Elysium,Elysium,Drama,nm3778562,120000000.0,93050117.0,286192091.0,2013,Aug
Oblivion,Oblivion,"Action,Adventure,Sci-Fi",nm2676052,120000000.0,89107235.0,287916633.0,2013,Apr
Oblivion,Oblivion,Thriller,nm4393600,120000000.0,89107235.0,287916633.0,2013,Apr
Power Rangers,Power Rangers,"Action,Adventure,Sci-Fi",nm2410311,120000000.0,85364450.0,142531552.0,2017,Mar
RoboCop,RoboCop,"Action,Crime,Sci-Fi",nm0655683,120000000.0,58607007.0,242981799.0,2014,Feb
Fantastic Four,Fantastic Four,"Action,Adventure,Drama",nm2503633,120000000.0,56117548.0,167849187.0,2015,Aug
